TRADE_YMDH,GEN_CD,REVISION,BID_QT,PBID_QT,FUEL_QT,TA_QT,PTA_QT,CONST_QT,CONST_TYPE,CONST_REASON,OPER_BIT,AGC_FLG,GF_FLG,BSF_FLG,TEMPER,A_MAX,A_MIN,GEN_CHG,GF_MAX,GF_MIN,AGC_MIN,AGC_MAX,ECR,EW_CONST,GT_SEQ,AMB_PRESS,WRT_ID,WRT_YMDS,A_MGMIN,SUB_FUEL_USE_YN,LABEL
2025070312,7284,1,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070313,7284,1,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070314,7284,1,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070315,7284,1,966,966,966,966,966,966,2,5,11,0,0,0,28,966,966,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070316,7284,1,968,968,968,968,968,968,2,5,11,0,0,0,27,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070317,7284,1,968,968,968,968,968,968,2,5,11,0,0,0,26,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070318,7284,1,968,968,968,968,968,0,0,0,11,1,1,0,25,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070319,7284,1,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070320,7284,1,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070321,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070322,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070323,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070400,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070401,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070402,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070403,7284,1,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070218,7284,1,968,968,968,968,968,968,2,5,11,0,0,0,26,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070219,7284,1,968,968,968,968,968,968,2,5,11,0,0,0,25,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070220,7284,1,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070221,7284,1,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070222,7284,1,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070223,7284,1,970,970,970,970,970,970,2,5,11,0,0,0,23,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070300,7284,2,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070301,7284,2,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070302,7284,2,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070303,7284,2,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070304,7284,2,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070305,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070306,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,25,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070307,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,26,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070308,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,27,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070309,7284,2,964,964,964,964,964,0,0,0,11,1,1,0,29,964,262,1.0155,964,262,262,964,0,0,12,0,system,2.02507E+13,0,,1
2025070310,7284,2,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070311,7284,2,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070312,7284,2,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070313,7284,2,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070314,7284,2,964,964,964,964,964,964,2,5,11,0,0,0,29,964,964,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070315,7284,2,966,966,966,966,966,966,2,5,11,0,0,0,28,966,966,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070316,7284,2,966,966,966,966,966,966,2,5,11,0,0,0,28,966,966,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070317,7284,2,968,968,968,968,968,968,2,5,11,0,0,0,27,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070318,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,26,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070319,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,25,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070320,7284,2,968,968,968,968,968,0,0,0,11,1,1,0,25,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070321,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070322,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070323,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070400,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070401,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070402,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070403,7284,2,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070218,7284,2,968,968,968,968,968,968,2,5,11,0,0,0,26,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070219,7284,2,968,968,968,968,968,968,2,5,11,0,0,0,25,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070220,7284,2,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070221,7284,2,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070222,7284,2,969,969,969,969,969,969,2,5,11,0,0,0,24,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070223,7284,2,970,970,970,970,970,970,2,5,11,0,0,0,23,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070300,7284,3,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070301,7284,3,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070302,7284,3,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070303,7284,3,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070304,7284,3,970,970,970,970,970,0,0,0,11,1,1,0,23,970,262,1.0154,970,262,262,970,0,0,12,0,system,2.02507E+13,0,,1
2025070305,7284,3,969,969,969,969,969,0,0,0,11,1,1,0,24,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070306,7284,3,968,968,968,968,968,0,0,0,11,1,1,0,25,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070307,7284,3,968,968,968,968,968,0,0,0,11,1,1,0,26,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070308,7284,3,968,968,968,968,968,0,0,0,11,1,1,0,27,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070309,7284,3,964,964,964,964,964,0,0,0,11,1,1,0,29,964,262,1.0155,964,262,262,964,0,0,12,0,system,2.02507E+13,0,,1
2025070310,7284,3,970,970,970,970,970,970,2,5,11,0,0,0,29,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070311,7284,3,970,970,970,970,970,970,2,5,11,0,0,0,29,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070312,7284,3,970,970,970,970,970,970,2,5,11,0,0,0,29,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070313,7284,3,970,970,970,970,970,970,2,5,11,0,0,0,29,970,970,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
